season,round,circuit_id,driver_id,avg_lap_time_norm,lap_time_std,best_lap_time_norm,avg_sector1_norm,avg_sector2_norm,avg_sector3_norm,tyre_degradation_slope,avg_stint_length,number_of_pit_stops,team,teammate_pace_delta,position_gain,grid_position,finish_position
2019,1,Melbourne,ALB,1.0114583132201933,0.012487011847535841,0.988715671930444,1.0132034084198094,1.0068353184337877,1.0129136854140015,-0.0004039669409877431,27.0,1,Toro Rosso,0.004474823331367395,-1.0,13.0,14.0
2019,1,Melbourne,BOT,0.9865018102493508,0.012334951489567376,0.959476200886826,0.9837367376024752,0.9854253152541558,0.9867025923092214,-0.0006504363527856806,28.0,1,Mercedes,-0.0019039450702837968,1.0,2.0,1.0
2019,1,Melbourne,GAS,1.0026280477765714,0.013764887616239988,0.9779638879078868,1.0042568026957681,1.0026984594249828,1.0010449027022215,-0.00012932460511669124,27.0,1,Red Bull Racing,0.006590083001184466,6.0,17.0,11.0
2019,1,Melbourne,GIO,1.013724687807731,0.016398329506375806,0.9919782049341608,1.0138163086039274,1.013402737865499,1.0136920259918893,-0.00016842868212627786,27.0,1,Alfa Romeo Racing,0.00567974316635933,-1.0,14.0,15.0
2019,1,Melbourne,HAM,0.9903097003899183,0.013417330054138317,0.964824064264052,0.987889345011146,0.9895353342985708,0.9898152108648459,-0.0015114377171292464,28.0,1,Mercedes,0.0019039450702836858,-1.0,1.0,2.0
2019,1,Melbourne,HUL,1.0029583704193685,0.009693921305451977,0.991585804057425,1.0052729266852276,1.0000443902416232,1.0027947372723092,-0.00025213343575475187,27.0,1,Renault,0.0,4.0,11.0,7.0
2019,1,Melbourne,KUB,1.0297020653691116,0.018114884412256116,1.0010034250990811,1.025770613286416,1.031799157824679,1.031425922428656,-6.646140161619336e-05,15.333333333333334,2,Williams,0.0030219049103668016,3.0,20.0,17.0
2019,1,Melbourne,KVY,1.0025086665574587,0.016569188213640368,0.9804191962508898,1.0078665862700433,0.998234514425271,1.0007002462055243,-0.0006093660311666685,27.0,1,Toro Rosso,-0.004474823331367173,5.0,15.0,10.0
2019,1,Melbourne,LEC,0.9962660763326724,0.012821996744790171,0.9745668174607178,0.9966569644815658,0.9989876476187928,0.9937344175104054,3.2974801115178006e-05,27.5,1,Ferrari,-0.0007881597294340237,0.0,5.0,5.0
2019,1,Melbourne,MAG,1.0013929721512589,0.00978019163978097,0.988648403208718,1.0012918275614242,1.0027533843842351,1.0003994740131035,-0.0001767080253252351,27.5,1,Haas F1 Team,0.0,1.0,7.0,6.0
